scope,board,quadrant,component_type,file,volume_mm3,solid_mass_g,fdm_print_mass_g
production,Akala,1,board quadrant,output/canonical_chassis/Akala/quadrant_1.stl,275885.692,342.098,slicer required
production,Akala,2,board quadrant,output/canonical_chassis/Akala/quadrant_2.stl,133474.264,165.508,slicer required
production,Akala,3,board quadrant,output/canonical_chassis/Akala/quadrant_3.stl,208663.462,258.743,slicer required
production,Akala,4,board quadrant,output/canonical_chassis/Akala/quadrant_4.stl,245111.253,303.938,slicer required
production,Melemele,1,board quadrant,output/canonical_chassis/Melemele/quadrant_1.stl,148179.022,183.742,slicer required
production,Melemele,2,board quadrant,output/canonical_chassis/Melemele/quadrant_2.stl,148157.383,183.715,slicer required
production,Melemele,3,board quadrant,output/canonical_chassis/Melemele/quadrant_3.stl,230016.573,285.221,slicer required
production,Melemele,4,board quadrant,output/canonical_chassis/Melemele/quadrant_4.stl,237045.418,293.936,slicer required
production,Poni,1,board quadrant,output/canonical_chassis/Poni/quadrant_1.stl,254103.639,315.089,slicer required
production,Poni,2,board quadrant,output/canonical_chassis/Poni/quadrant_2.stl,257899.958,319.796,slicer required
production,Poni,3,board quadrant,output/canonical_chassis/Poni/quadrant_3.stl,274149.984,339.946,slicer required
production,Poni,4,board quadrant,output/canonical_chassis/Poni/quadrant_4.stl,234702.034,291.031,slicer required
production,Ulaula,1,board quadrant,output/canonical_chassis/Ulaula/quadrant_1.stl,228727.300,283.622,slicer required
production,Ulaula,2,board quadrant,output/canonical_chassis/Ulaula/quadrant_2.stl,101200.257,125.488,slicer required
production,Ulaula,3,board quadrant,output/canonical_chassis/Ulaula/quadrant_3.stl,234739.043,291.076,slicer required
production,Ulaula,4,board quadrant,output/canonical_chassis/Ulaula/quadrant_4.stl,253141.896,313.896,slicer required
prototype,,,board part,output/sloped_lap_prototype/prototype_2x1_part_A.stl,17505.292,21.707,slicer required
prototype,,,board part,output/sloped_lap_prototype/prototype_2x1_part_B.stl,17497.055,21.696,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_4mm_family_clearance_0.15_shaft_4.10.stl,354.337,0.439,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_4mm_family_clearance_0.20_shaft_4.00.stl,348.013,0.432,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_4mm_family_clearance_0.25_shaft_3.90.stl,341.844,0.424,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_4mm_family_clearance_0.30_shaft_3.80.stl,335.828,0.416,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_5mm_family_clearance_0.15_shaft_5.10.stl,425.057,0.527,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_5mm_family_clearance_0.20_shaft_5.00.stl,417.195,0.517,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_5mm_family_clearance_0.25_shaft_4.90.stl,409.487,0.508,slicer required
prototype,,,pin,output/sloped_lap_prototype/pins/T_pin_5mm_family_clearance_0.30_shaft_4.80.stl,401.933,0.498,slicer required
prototype,,,tile test,output/sloped_lap_prototype/tiles/blank_test_tile_0.15mm_per_side_1_dots.stl,3558.801,4.413,slicer required
prototype,,,tile test,output/sloped_lap_prototype/tiles/blank_test_tile_0.20mm_per_side_2_dots.stl,3538.686,4.388,slicer required
prototype,,,tile test,output/sloped_lap_prototype/tiles/blank_test_tile_0.25mm_per_side_3_dots.stl,3518.627,4.363,slicer required
prototype,,,tile test,output/sloped_lap_prototype/tiles/blank_test_tile_0.30mm_per_side_4_dots.stl,3498.625,4.338,slicer required
